tweet,label_prediksi
"Dia anak baru, terus baru sekolah offline beberapa hari langsung banyak bgt yg suka cuyğŸ˜© https://t.co/ZnozIoRAKj",negatif
"@tanyakanrl pernah si pas awal awal masuk sekolah offline, galama deket deket ujian langsung di serbu 2 cowok",negatif
Mulai pusing. Terakhir kali begadang seminggu penuh hari jumatnya sekolah offline gw rasanya mau mati,positif
"Si anak sulung sudah semester akhir, tahun ini. Biaya membengkak, sekolah sudah offline, perlu bensin untuk bimbingan, tapi tidak perna diberi uang saku. Cuih.",positif
"@schfess Buat aku, susah. Pas kelas 10, udh tekanan linjur, lingkungan yang bener bener baru, awal covid, online, masa adaptasi, temen yang ga supportif, bikin makin males sekolah
Tapi pas kelas 11, udh mulai offline, ktmu temen sekelas, kayak gampang gtu ktmu yg positif",netral
@aidaneksa INI LAGU KEBANGSAAN DAN KEBANGGAAN JAMAN MASIH SEKOLAH OFFLINE DULUUU WUAKAKAKAK. tiap jamkos pasti nyanyiin ini sambil gebrak gebrak meja atau tong sampah,positif
"@schfess Aku nyesel selama pandemi terlalu santai dan males belajar. Pas sekolah mulai offline, udah ngejer ketertinggalan mapel (yg belum aku pahami) malah susah masuk ke otak. Buat sender dan kalian semua, jangan sepelein waktu ya.",negatif
"@aloehoshi Just online concert onlyâ€¦ yang offline belum pernah JSVSJSHS unless pensi sekolah shhshs aku pernah ketemu tulus, rizky febian sama nadin amizah sjsbsnbs",positif
"main cod juga kagok, wajar sih kek udh lama bgt semenjak sekolah offline gapernah main lagi ğŸ˜­",negatif
"@SIAPonline Untuk edit file upload udah dilakukan, apakah harus kembali ke sekolah secara offline? https://t.co/XSyMutpJ3V",positif
"@huffingspalshh @ohmybeautybank Dulu sebelum covid sekolah offline berusaha tiap berangkat sklh jangan ngaca di spion, suka kaget sendiri liatnya trs nanti jadi bt di sklh deh ğŸ™„",positif
@convomf Peluk jauh buat sender. Pasti berat banget ya. Apalagi sekarang sekolah udah full offline juga.,positif
"hi, aku mau jual akun zenius aku. Kemarin aku beli cuma salah pilih paket. Alasan aku jual karena semester depan ada jam tambahan dan les offline. Paket Aktiva Sekolah Lite 6 Bulan 22/23. Dari hrg 150k jadi 100k aja.
#zonauangï¸ #Zonajajan #zonaba #utbk2023 https://t.co/JI511fcpAt",netral
@chfluv SEKOLAH FULL OFFLINE JADI JARANG BUKA TWT,negatif
"Kangen bgt gak sih setelah sekian lama pendemic akhirnya dibolehin sekolah offline, seneng bgt akhirnya bisa pake tas keren dari @exsportbags yg lucu bingittt.
#BagToSchool #BringyourbackpackOut

Link :
Shopee : https://t.co/NMzuEek0mb""",positif
kebiasaan tiap ulangan mtk dulu wowkwokw kangen sekolah offline dkit https://t.co/vrVsg2JfXF https://t.co/TYsxC1VEko,positif
Tapi saat haid gitu biasanya keluar tuh jerawat tapi cocok kok. Saat sekolah offline yah gue mendingan buat wajah gue eh tau taunya potek sih crush udh punya nyesek sih padahal gue glow up biar dia kepincut gue hahahah.,netral
@melobigwavie @changchubie iyaa kakk gampangg. kemaren aku sambil sekolah offline tetep bisa kok. ini aja aku udah daftar lagi meskipun PKLğŸ‘ğŸ»,netral
Males banget kalo nanti sekolah offline -_-,negatif
"aku belajar buat utbk tuh 7 bulan full non stop, di barengi sama aku sekolah offline, ngurus kti, sidang juga 

benerÂ² udh prepare jauhÂ² hari, aku udah usaha sebisa ku... tapi, aku ttep yakin Tuhan pasti ngasih aku hasil yang terbaik buat aku",netral
COBA LU SEMUA MAJU SINI YG TERKEJUT MAU NONTON TAPI TERHALANG SEKOLAH/KULIAH OFFLINEğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­KITA KUDU GIMANA INI WOY MASA IZIN BUAT SURAT ALESANNYA KONSER,netral
aaaaa pengen ketemu yeonjun tapi gaa ada duit ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­ pasti udah sekolah offline juga huweee,positif
"@schfess nyadarnya pas sekolah offline liat papan tulis ampe maju maju tetep gakeliatan, ternyata minus ğŸ˜ƒ",netral
sekolah lain classmeet offline sekolah gua classmeet online huuu gembel,netral
"Jadwal Offline Baking Class untuk bulan Juli 2022 di @omah_jajan â¤ï¸
Tersedia kelas untuk dewasa dan anak/remaja mengisi liburan sekolah. Informasi lebih lengkap bisa ke https://t.co/0gHKciiitx yah â¤ï¸ https://t.co/AP9fKr2FlT",netral
"Kemarin-kemarin Px dari Berau tinggal sementara d Jakarta cuma buat terapi, terus udah balik.
Habis itu Px dari Batam, pas harus balik k Batam karena koko'nya udah mulai sekolah offline, mamaknya sampe rela mau pindahin sekolah anakya yang lain ke jakarta.
Sekang px dari Belitung",netral
guru w ngepost pembinaan osn online / offline yang range harganya 1000k+ w kira sekolah mau memfasilitasi TERNYATA SURUH MASUK SENDIRI OALA JANCOK,netral
"@tanyakanrl do: belajar yang bener nder asli deh gue agak nyesel dulu belajar ga bener, [gue asumsiin lo udah offline ya sekolahnya] perbanyak kenangan kayak foto/video sama temen, perbanyak pertemanan, ikut kegiatan sekolah/luar sekolah, ikut lomba, naksir orang boleh pacaran jangan hahaha",positif
"ada satu waktu di sekolah gua ada sosialisasi offline, dan ya. Gua ngambil kesempatan buat nyariin dia yang mana. Eh ternyata, dia juga nyariin gua yang mana. Yaa.. penasaran namanya juga

https://t.co/GvtAkuaXyb",positif
"makin kesini gua di bikin penasaran sama ni bocah, waktu itu gua sekolah setengah-setengah. Kadang Offline kadang online. Dan setiap kali offline gua selalu curi-curi pandang buat nyari dia yang mana. Trus dia ngechat kaya gitu, ya makin suka lah gua anj 

https://t.co/VDJTf5fTd3",negatif
"itb! Atau kalau mau offline tolong tanggalnya di mepetin ke akhir bulan, bisa mendekati osjur atau sekolahâ€¦ sehingga bisa langsung lama di Bandung. Jangan di awal bulan begini dan dadakanğŸ˜­ğŸ™ğŸ» izin kita idul adha sama keluarga dlu kak pleaseğŸ˜",positif
"@prince_donghwa Langsung ke sekolah aja kayaknya bisa, udh offline juga, lebih enak langsung ke sklh, ga ribet",netral
"@wa_naju @owbgtu lah, sekolah gua offline LOL. Gausa bikin masalah seakanÂ² sekolah laen ulangan ya online lah, lo kkira sekolahan lo doang yg offline wkwk",netral
"@creamycookiesx bismillah, mau sepatu inii kak, kebetulan bulan depan udah sekolah offline, sama minta doanya ya semoga masuk di sma pilihan 1 (â•¥ï¹â•¥) anw semoga kedepannya sukses, dilancarkan rejekinya, sehat selalu kak devv ğŸ¤ https://t.co/Cx15nllwgx",positif
"@subschfess tapi SMA menurutku seru sih ttp, kyk cara berpikirnya mungkin udh beda ya jadi diskusi sama orng yg bener dan paham tu masuk gitu jadi kitanya jg bisa berkembang. Sedihny aku sekolah offline cuma dapet sebentar:(",positif
@poemhrt Udahh losttt bangett sama dikit lagi bakal sekolah offlineğŸ˜­,positif
"@rasjawa Anakku sekolah di Nursery 2th, bayar mahal2 gak ada perkembangan signifikan. Di sekolah yg baru setelah pandemi, masuk 3bulan lgsung bs tulis2 dan itung. Beda bgt klw offline ama online emg. Tetep aj tapi dy dinilai kurang ama standar yg seharusnya (semua gegara pandemi)",negatif
"@schfess Kalau pengen sekolah negeri yang bagus, saran aku bimbel nder. biar g nyesel. aku kls 9 bimbel dari awal, tmnku bimbel pas akhir2(pinteran dia). Tapi nilai ASPD Alhamdulillah aku lumayan. Bimbel itu membantu bgt, apalagi kalo kamu ada aspd.. saranku offline.. lebih enak ketemu..",netral
"@schfess kalo kamu ngerasa susah mahamin materi atau ada niatan buat masuk sekolah yang ada test nya kayak man dan lainÂ², bisa ikut bimbel. Kalo kamu tipe yang susah buat mahamin materi kalo online mungkin bisa bimbel offline. Kalo aku kemarin engga ikut bimbel nder soalnya mahal.",netral
"sebenernya dari TK-SMP suka mtk, tapi pas SMK bener"" ga minat lagi sama mtk gegara 2 tahun ga masuk sekolah aliasn offline class jadinya guru ngajar juga ga produktif dan bikin saya gasuka mtk https://t.co/7F1S98jEkM",netral
sekolah gue mau online ataupun offline udh 3 tahun tetep aja kalo classmeet lombanya mobile legends,netral
jujur males bgt sekolah offline,negatif
yallah udah kelas 12 bru kmrn coba sekolah offline lagi wkakwk smangat 23,positif
"Aku kira setelah sekolah offline gw bakal punya banyak teman dan punya bf,eh nyatanya gw diperlakukan tidak baik disekolah,dibully,di caci,dihina di lempari buah,dll dan gw cuma dapat teman dikit.katanya gara"" aku bencong. Afah iya gara"" itu doang langsung di hate?  
#gaymakassar",negatif
"Sedih lihat akhir-akhir ini di desaku ada lumayan banyak cewe di bawah umur yg hamil di luar nikahğŸ˜” asli, rasanya aku pengen banget ngadain seminar sex education buat bocah2 di siniğŸ˜­ semenjak sekolah offline byk kasus yg begini",netral
"@biancaajn sekolah? offline, online nilai ku turun",netral
plsplsplssss tahun ini sidang online tapi wisuda offline plsssssğŸ¥ºğŸ¥ºğŸ¥º selama sekolah gapernah ngerasain wisuda diantar lengkap satu keluarga karena gue bukan siswa berprestasi huhuhu,netral
"@indomiestoryau siapağŸ˜­ğŸ˜­ aku yhh, maafin yaaa nia kalau aku sering cuekin chat kamuuu. gara gara sekolah offline jadwal ku makin padat emang sih sering buka wa tapi kadang lupa balas chat orang :(. ku juga ngerasa kok aku yang salah di sini karna aku sering cuekin chat mu-",netral
"apayah vlog masuk sekolah, teruss daily sekolah aja (SEMOGA OFFLINE PLISSS) aku dari smp masa online terus beteee :///",positif
@ilovefikez ciee sekolah offline ya,positif
"Semenjak ppkm dilonggarin, arus ke arah kantor macet bgt woy. Padahal anak sekolah sama kuliah blm semua masuk offline, pas udah offline bakalan lebih parah nih",negatif
"@jjkookluvv klo pengajuan akun dri rumah jg bisa (online), offline jg bisa ke sekolahan terdekat, tapi klo verivikasi berkas harus ke sma atau smk terdekat, gak harus ke sekolah yg di tuju, kan itu konteks nya masih buat akun ppdb, bukan pendaftaran",netral
"Fyi sekolahku baru2 aja offline lagi setelah bulan puasa ini, kemarin2nya kita bener2 masih online di saat yg lain udah offline karena ribet oleh satu dan lain hal gitu. Jadi bener2 masuk sekolah offline cuma 2 minggu abis itu langsung ulsem..",netral
"@smkfess kalo dulu sekolah aku iya, jam 3. tapi pas offline sekarang cuma sampe jam 11",netral
"@cloudynewwiee Pen gua tabok , buta matanya tiket ptj offline udah soldout kurang dari 1 jam ya . Kalo yang lu maksud tiket live streamingnya emang gak dibatesin bagong. Mau nyenggol fandom kita tpo goblok . Sekolah dulu yang bener njing . Maaf nder esmosyi ğŸ˜‚ğŸ˜‚",netral
"berisi 3 siswa dan/atau siswi yang berasal dari sekolah yang samağŸ˜

Gimana cara daftarnya???ğŸ¤”
Cukup mudah, kok. Kalian bisa langsung mendaftar secara online di: https://t.co/PkkEq44xG2
Atau bisa langsung menghubungi lokasi pendaftaran offline di rayon masing-masing.",netral
"berisi 3 siswa dan/atau siswi yang berasal dari sekolah yang samağŸ˜

Gimana cara daftarnya???ğŸ¤”
Cukup mudah, kok. Kalian bisa langsung mendaftar secara online di: https://t.co/PkkEq44xG2
Atau bisa langsung menghubungi lokasi pendaftaran offline di rayon masing-masing.",netral
"@shooneybby Udah mau sekolah offline,kayaknya ga sempet buka twt nanti :((",negatif
"bayangin temen-temen lo ikut remedial online, sedangkan lo yang ikut acara sekolah remedialnya jadi offline.",negatif
"@convomf heh tmnku juga ada yg gamasuk 2thn selama sekolah offline trs tibaÂ² diundang ke nikahan dia, nah tmn yg satu lagi setengah tahun gamasuk ajg emang pada gawaras deh kayanya udh sinting",negatif
"berisi 3 siswa dan/atau siswi yang berasal dari sekolah yang samağŸ˜

Gimana cara daftarnya???ğŸ¤”
Cukup mudah, kok. Kalian bisa langsung mendaftar secara online di: https://t.co/PkkEq4lAI2
Atau bisa langsung menghubungi lokasi pendaftaran offline di rayon masing-masing.",netral
"anj keinget someone yg selalu jd alasan gue stres tiap dibandingin sm ortua, bisa bisanya ga pernah ikut daring tugas telat dipanggil bolak balik sekolah trs pas offline bilang alesan krn keluarga ehh kmrn dinyatain lulus trs pas gladi entengnya bilang https://t.co/Eh5hB2Zpka",netral
"@schfess Pindah aja nder, aku dlu pengen pindah tp gabisa, cm sekolah 1,5 th offline tp stressnya sampe skrg",netral
"@O87HI Offline, biar bisa direview pas di sekolah juga",netral
"awalnya aku kira aku berhasil move on, karena emang dari dulu aku tipe orang yang gampang move on. saat sekolah offline kembali, aku juga biasa aja. ga se-excited dulu aku sebelum confess ke dia. aku juga ga ngelakuin modus kaya dulu. bahkan aku bilang ke temen, aku udah move on.",positif
@sheloveshariss @onyokim_ Pentingnya sekolah offline,positif
aku lagi pendewasaan di zmeet sekolah t____t sedih banget gue pendewasaan nya online KNP GA OFFLINE COBA bdjwbdhabsha pucek. tpi ttep sedih gue bsbdbebsb gue lulus T____T,netral
@yeonjunsipil iyaaa sekolah lain di sini juga offlineğŸ˜­sekolah gua gk jelas bgttt plsğŸ˜­,positif
"@filzterpjm anjir sekolah gue classmeet online tu 2020 kemaren, sekarang dh offline semua anjir aku liat di story orang orang",negatif
"Banyak temannya sudah terlanjur asyik dengan kehidupan online sehingga seperti hidup di dunia gadget. â€œDengan lagu ini, aku ingin mengajak, ayo kembali bersenang-senang bisa ketemu lagi dan kumpul di sekolah,â€ ujarnya. #rivialaksita #alienchild #kubukopi
 https://t.co/z411cbpLct",netral
"@emaknyadodger @convomf ""murid meninggalkan ruangan"" berarti dia beneran buka apps lain gitu kan atau ""murid offline"" kalau ini dia buka new tap dalam chrome, bcs webnya cuma bisa di apply di chrome gitu. temen gua pernah gini, cuma ada dua pilihan ngulang di laptop or komputer sekolah atau gagal ujian",netral
"tpi kalo ga ditanya, anaknya gengsian gamau dibantu. 

skrg gue udh rantau lagi dan doi dah balik sekolah offline, eh malah.... ğŸ™‚

biasanya gw yg negur nyokap kalo ngomelinnya kebangetan wkwkw semalem anaknya gue chat tp ga tega jg gue nanya2 ttg sekolah.",negatif
"halo temen-temen, hari ini aku abis perpisahan sama temen2 smp :( 

cukup sedih soalnya 2 tahun aku ngga sekolah offline 

pesan buat temen2 semua, semoga temen2 sehat selalu, panjang umur serta sukses, 
goodluck ğŸ˜€ğŸ˜«",negatif
sekolah offline bismillah skdhdidmdj biar bisa nabungğŸ¥² BISMILLAH KETERIMA,positif
"janji ga iri ngeliat graduation temen pada offline seru seruu, sekolah gw graduationnya online tapi ke sekolah cuma ngalungin mendali ğŸ¥ºğŸ˜“â˜ğŸ»",positif
"Kaya sekolah tuh gua ga bisa online anjirr, waktu masih offline everyday nih gua aktif banget anaknya pengen ikut ini itu belajar gua rajin, kalo di kelas gua fokus banget, pokonya suka jadi bahan contekan deh
Tapi pas online tuh gua jadi males banget njir bodo amatan pokonya",negatif
"serius deh, jasa tulis di online itu buat apa? sekarang kan rata rata udah offline sekolah nya ğŸ˜­",netral
"@ars_df @armyfess_ Mjb, dan menurutku krn udh banyak yg sekolah/kuliah offline dan wfo jg pengaruh sih",netral
"@schfess kirim ke perusahaan2 atau media psrtner yg biasa jalin kerjasama sama sekolah lain. kalo aku dulu langsung kirim ke kantornya offline tapi ga ada yg diacc aowkaowkaoak. malah dapetnya yg jalur ordal, bukan jalur sie sponsor. (cont.)",netral
Sekolah sama kuliah udh mulai offline ga si?,negatif
Ini nilai ujian sekolah offline :3 https://t.co/sGHaBX0zcL,negatif
"Udemy sama Kominfo, dulu aku waktu awal belajar digital marketing dari Kominfo x Grab, seru sih. Ada juga dari FSF UGM ini juga seru karena step by step. Kalo mau belajar instrumen investasi di IDX Semarang ada sekolah pasar modal dan bertahap, ada online sama offline juga kok https://t.co/OTmrSoDJ0t",positif
@zwyitsal Keseringan sekolah online.... Sekalinya offline pd lawak ğŸ¤£,netral
gw tkt war ticketnya pas ntar july PAS GW UDH SEKOLAH OFFLINE ğŸ˜­,positif
TARA MAK JRENG SENIN SEKOLAH OFFLINE ğŸ˜„ğŸ˜„ğŸ˜„ğŸ˜„ğŸ˜„,positif
"@nangisTao begadang kah? hayooo sekolah udah mulai offline, perbaiki jam tidurmu yaa biar ga kecapean &amp; belajarnu efektif &lt;33",netral
"Guys, yg dom Surabaya, sekolah/kampus kalian ada wisuda offline nggak? Dan kapan? Tolong bagi infonya yaa, mau menjajakan diri XD",netral
"Kapan sih anak sekolah masuk
Baru juga sekolah offline udah libur lagi
Berisik banget sumpah pagi2 teriak2
Kudu tak tapuki siji siji",negatif
@lovember11 @leesxhin Sejauh ini masih dilakukan secara offline dan dapat ditanyakan ke sekolah tujuan ya kak untuk prosedur selengkapnya,netral
@BERGUNJlNG gini gini gw sekolah 12 tahun offline sempat praktek renang ğŸ˜¢ğŸ˜¢ğŸ˜¢,positif
@Strawxxxbby @do0natt @Proteussiiu @sbmptnfess Kalo 2012 &amp; 2013 diseluruh kampus dan sma. Tes juga offline dari pagi sampe sore. Bisa muat sekolah dan kampus di indonesia banyak.,positif
"@convomfs ğŸ’­ things u remember from 2022? 

jan : pertama kali masuk sekolah offline krn selama mm sakit aku sekolah nya online sendiri
feb : mama gak ada
mar : nonton jjk sm bestie
apr : temen ku pulang dri ponpes
may : his birthday!! Dan aku ngucapin buat pertama kalinya
jun : classmeet",netral
"Duo #Alien Child, Aya dan Lala, mengorbitkan penyanyi remaja Rivia Laksita dalam karya terbarunya. #denpasar #Baki #musisi  https://t.co/z411cbpLct",netral
"(21_199) Surabaya - Pada pagi tadi (17/6/22), tepatnya pukul 07.00 WIB, SMPN 48 Surabaya kembali mengadakan wisuda secara offline tanpa batasan undangan. 
Acara wisuda diadakan di lapangan utama sekolah dengan beberapa pertunjukan yang telah disiapkan untuk memeriahkan acara. https://t.co/VqtdZOeRYx",positif
"@schfess emmm gue yg begini dari kelas 10 ga ngerasa malu sih nder, selama itu uang gue &amp; gue ga ngerugiin siapapun. Ditambah gue pulang dari sekolah pas offline itu udh ngerasa cape bgt jd bisa2 kalo gue pake angkutan umum kemungkinan untuk terjadinya hal yg tidak diinginkan lebih besar",negatif
"@alovasoe WOWW WOWW SERU BGTT ADA CLASSMEETğŸ˜»TAU GASII INI ANEH BGT TEMPAT KU, jadi tu sekolah ngasih pilihan classmeet offline ( yg hadir cuma peserta doang ) atau online ya jelas dong pada ga milih semuaa akhirnya ga di adain classmeet :( ini sekolah ku juga aneh classmeet online????ğŸ˜¿ğŸ˜¿",netral
"@spacehammy Namanya Catherine juga tapi julukannya ""Cat"" ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚

Cat punya banyak temen karena aktif di banyak organisasi di luar sekolah, online maupun offline. Biasanya organisasinya di bidang volunteer yang bantu2 sekitar karena Cat suka bantu orang lain. https://t.co/yssUt8IfoU",netral
"@convomfs jan : sekolah offline
feb : ultah
mar : online lg
april : puasa, event di sekolah
mei : sekolah lg
jun : pat",netral
@convomfs gue sekolah offline cmn 1 tahunğŸ¤¡ğŸ¤¡ğŸ¤¡,positif
"[Cm] gais di sini ada yang kuliah offline pakai tablet+stylus? Kalian kaya diliatin banget sm temen sekelas gitu gak? Aku niatnya nanti sekolah offline mau pake tablet, tapi takut tmn sekelas aku kaya gimana gitu ke aku :(( saran dong gais enaknya gimana",negatif
"@ohmyhcn akuu udah offline dari lamaa, tapi ya gitu deh sekolah ku emang aneh dari dulu, osis ngusulin  classmeet itu malah dimarahin terus malah dikasih pilihan ituu, yaa yaudah mending gausah wkwk, padahal sekolah lain pada ngadain juga gapapa kok malah pada konser kecil kecilan...",negatif
"@butterfliestpg HAH??? NANGIS BGT WKWK classmeet online itu ngapain sumpah.. ga berasa serunya itumah, kalo beneran diadain kita sebagai murid ngapain natap layar doang..... emang sekolah kamu belum offline jee? belum boleh berkerumun gitu?",positif
"SMA  di diklat di sekolah.
trs ndiklat adek kls di luar sekolah.

ospek kampus online.
giliran ngospek offline.

hoki mulu wkwk",positif
"@fairyyyii engga ada kaa, ini ketawa bgtt malah sekolah mau ngadain classmeet online, dikasih pilihan mau online apa offline ( tapi yang hadir cuma peserta aja), jelas pada gamau akhirnya diputusin ga ada classmeet :(",netral
"@ohmyhcn SUMPAH SA AKU KEATAWA BGT INI, masa sekolah mau ngadain classmeet online, jelas pada gamau lah ya aneh bgtt classmeet online???? dikasih pilihan classmeet offline tapi dengan syarat yang hadir cuma peserta aja atau kalo gamau ya online, akhirnya pada mutusin ga ada classmeet :(",netral
"sedang menyesal kenapa sma gak sekolah offline. bukan salah gue sih, tapi AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",positif
"Ges aku baru bangun tidur siang terus tiba2 kepikiran, kemaren aku baru aja ngasih2 baju seragam sekolah ke sepupuku termasuk rok hitam sama baju putab krn lagi bebenah lemari, padahal klo ospek ptn! nya offline kan masi kepake :)) *eh kira2 bakal offline ga ya?? Gpp  (cont..)",positif
"@tanyakanrl ini mepet kkm banget nder asli ğŸ˜… soalnya nilah akhir semester kan. coba lo flashback 1 tahun belakangan ini :
1. lo rajin masuk sekolah even itu online/offline ya? 
2. lo rajin ngerjain tugas ga? 

karena yaa untuk ukuran rajin itu setidaknya 80 udah di tangan, sisanya kemampuan",netral
@schfess seringgg apalagi pas jaman mulainya sekolah offline lagi di jkt krn sekolahku salah satu sekolah pertama yg dibuka buat luring trs diberitain mulu di channel channel nasional wkwk,netral
gue diusir anjj!! mak gue nanyain mulu gue offline kapan soalnya kamar gue mau dikos in buat anak temen mak gue yg sekolah di smansa..,negatif
"@schfess percaya ga percaya, tapi ya kenyataan nya begini sksksk padahal masih pengen ngerasain sekolah offline, jajan ke kantin, gibah di kelas, liatin crush",positif
udah sekolah offline kan? siapa tau butuh #fnfjb https://t.co/sBYrJvteTA,netral
@PPDBDKI1 @De_n_a Artinya tidak wajib kita lapor diri secara offline ya ke sekolah tujuan? karena kwatir nama anak hilang atau terhapus.,netral
"sekolah 2 tahun time so fast, 1 setengah tahun online trus sisanya offline tp cepet banget ğŸ¥º https://t.co/D4GfppGz8U",netral
"Detail lelang #betis12

Bagpack Mitre
2 resleting
Ada slot laptop 
Tinggi 49cm, lebar 30cm

(-) tulisan Mitre agak faded

Sudah mulai sekolah offline dan WFO! https://t.co/Gs0JWJ9w1B",positif
"Plis ya, Covid. Jangan ngadi-ngadi lagi. Anak aku mau sekolah offline, udah dia nanti-nanti selama berbulan-bulan. Dia udah berdoa tiap malam biar kamu hilang. Dia udah rajin pakai masker &amp; cuci tangan. Dia udah vaksin. Plis plis plis.",positif
"ğŸ’­ things u remember from 2022? 

jan : mulai masuk 100% offline
feb : photoshoot yearbook
mar : uprak &amp; ujian sekolah
apr : pusing nunggu hasil snm, dilema lanjut sbm atau suren
may : pulang kampung 
jun : wisuda https://t.co/uEnjVRWY7c",netral
"Via ini mengatakan, siswa sekolah mengalami masa-masa sulit karena terpaksa bersekolah secara #online tanpa bertemu dengan teman-temannya secara #OFFLINE . #pelajar #denpasar #Bali 
https://t.co/L7UH9TP6ho",negatif
"Selamat mempersiapakan liburan semester #bestieâ˜€ï¸â˜ï¸ semangat hari terakhir sekolah ga sii atau masi besok? Sekalian aku mau spill deh bimbel offlinenya Ruangguru, Brain Academy Offline itu gmnğŸ¥³ğŸ¤©ğŸ’› #bimbelonline #OFFLINE #ambies https://t.co/3ORcGJ1vkT",netral
