tweet,sentimen,prediksi
sekolah offline semangat jojooo,positif,positif
tolong besok sekolah offline,negatif,positif
efek antuk ayo kawan tidur malam malam gutnait tidur besok sekolah offline saya vi,positif,positif
cimory sekolah offline pulang,netral,netral
sekolah offline,netral,netral
semenjak sekolah offline stres,negatif,negatif
gasabar rasa momen pulang sekolah pas sekolah offline,positif,positif
tidurrr perkara saya sekolah offline tugas ekonomi tuntassss syalann battttt,negatif,negatif
unty morining kak fen sekolah offline,positif,positif
eh nderr sekolah offline doang,netral,negatif
izin rest deh ku aktif sekolah offline daring penuh tugas,netral,netral
stase anak obgyn ipd jaga pagi yuk yuk corona ilaaangg aktivitas kuliah sekolah normal vaksinasi anak coba kelas offline siswa iya kak sekolah daring bego,positif,positif
sekolah rumah offline sembunyi rumah,positif,positif
anjing sekolah offline guru ngelunjak kasih tugas,negatif,negatif
apa sekolah offline,positif,positif
sekolah offline,netral,netral
jay tuspi scylla gemas banget banget banget pulang sekolah offline paket trade ksjshshjsgsgs,positif,positif
besok saya sekolah offline,positif,positif
offline sekolah orang heboh rumah sekolah,positif,positif
sekolah offline,netral,netral
sekolah offline,netral,netral
besok sekolah offline hufttt dunia kejam,negatif,positif
rasa capek sekolah offline,negatif,negatif
sekolah offline asa latih militer,negatif,positif
rina hyonk kamu sekolah offline,netral,netral
sekolah offline ajar,positif,positif
saya sekolah offline saya pilih dua,positif,positif
asyik sekolah offline,positif,positif
habis sekolah bersih bersih kelas awal november offline bakalll sibukkkk,negatif,positif
saya ngeri praktikum kayak efek daring saya doang semangat sekolah offline,negatif,positif
sarap mandi sekolah offline lupa,netral,netral
wkwkkwkwwk nolep banget saya sekolah offline,positif,positif
besok sekolah offline mules rn,positif,positif
sekolah offline,netral,netral
mootssss sekolah daring offline,netral,netral
besok sekolah daring offline,netral,netral
kesini malas sekolah offline anjing,negatif,negatif
cieee sekolah offline,positif,positif
sekolah offline aku nyaman sekolah daring,negatif,netral
pagiii sekolah offline semangat,positif,positif
wkwkwkwkwkwk saya minggu kali only sekolah minggu hari ganti gkpp syukur offline,positif,positif
alhamdulillah jalan sekolah offline kasih sangu orang tua jatah ke hari tabung alhamdulillah jalan album sn kumpul ambil beli jilbab kumpul ke,positif,positif
lebih baik offline deh sekolah daring pusing banget saya,positif,positif
delu besok sekolah offline gnite sleep well moots,positif,positif
sekolah offline cok,negatif,positif
nggaaa besok sekolah wawancara offline terima kasih lt,positif,positif
unty istirahat ji capek habis sekolah offline,negatif,negatif
sekolah offline matematika ekonomi rumah,positif,positif
banget sekolah offline sarap perut enak makan jam an istirahat,netral,negatif
kayak sekolah offline bullying gara gara bocah cilik tonton tokrev,negatif,positif
full sekolah offline by the way malam,negatif,netral
bicara mama pas sekolah offline pulang sekolah mama sekolah teman teman mama suruh pindah sesi pagi bilangny entar lihat minggu,negatif,positif
nder besok offline enak yuk sekolah ajar hak semangat,positif,positif
sekolah daring offline,netral,netral
bangun sekolah offline,negatif,positif
tertawa minggu kemarin offline plus sabtu ekskul capek banget lupa sekolah offline,negatif,negatif
zona hijau moga dom sekolah offline,positif,positif
offline daring sekolah e nanti saya bantu alas tau offline,netral,netral
sekolah but offline,netral,positif
lemas banget suasana hati ngapangapain sekolah offline pagi,negatif,positif
sekolah daring gaib offline muncul,positif,netral
saking dekat rumah bel dengar sekolah offline bel dengar senangnyaa pergi normal,positif,positif
wkwk besok saya sekolah offline,positif,positif
malas besok sekolah offline,negatif,negatif
banget anjing nolep gpunya teman seko sekolah offline pusing banget jujur,negatif,negatif
pagi lang sibuk sekolah kuliah daring offline,netral,netral
kayak sekolah saya offline gagal melulu anjing astagfirullah,negatif,negatif
sekolahoffline sekolah offline,positif,positif
pas offline kasih ongkos pulang doang kantin sekolah buka wkwk,netral,netral
wkwk kak dyn jompo akibat sekolah offline mogu lucu banget kayak nama kucing tetangga ku,negatif,positif
allah besok ulang bio offline daring offline erti sekolah ulang pakai handphone nasib ku gimaneee ajar bolsi kirim video jeongwoo jihoon belajarr,negatif,netral
lxyc sekolah daring offline by the way sarap,netral,netral
sekolah daring ingin offline pas kasih offline malas malesan dasar,negatif,negatif
besok sekolah offline,positif,positif
allah bosan sekolah offline,negatif,negatif
tolong cptcpt sekolah offline tolong uang jajan double sisa ongkos kirim,positif,positif
heran lihat anak sekolah sekolah pakai masker keluyur sekolah offline anggap wkwk covid selesai salah ikut prokes sementang atur longgar,negatif,positif
daring sekolah offline,netral,netral
fess sekolah offline doang daring,positif,netral
pagiiii sekolah offline degan banget plisss,negatif,negatif
anjing besok sekolah offline,negatif,negatif
sekolah offline,netral,netral
ow hore sekolah offline,positif,positif
sekolah offline daerah zona merah,negatif,positif
bes masuk sekolah offline rambut warnain marah kaget pas masuk guru marah suruh ganti warna hitam,positif,positif
beli permen birutdi bingung beli permen biru bubblegum permen biru favku sekolah offline allah kangen jajan sekolah,positif,positif
semenjak saya sekolah offline asa minggu cepat banget dha minggu,netral,positif
beda berat siswa ajar dewe segi tugas saya lihat lihat beda saya sekolah offline adik saya deklarasi saya masuk sekolah sekolah,negatif,positif
besok sekolah offline antuk malas tidur,negatif,negatif
sekolah offline daring,netral,netral
malas banget besok sekolah offline,negatif,negatif
gess lepas aktif tepat sekolah offline asramaahayyyy yaaahh translate jametnya,positif,positif
sekolah offline,netral,netral
sekolah offline istirahat sebentar banget bekal saya habis bawaa,negatif,negatif
proses pindah on ingin sekolah offline full day canda teman cepat banget lupa sakit,positif,positif
buka yttiktokigtwitternonton filmmain game sekolah offline pakai kouta,positif,netral
tidurr besok sekolah offline,positif,positif
masuk lihat kknya sekolah tk ikut ku masuk didik anak usia offline bunda,positif,positif
kangen musim hujan pas corona musim hujan pas sekolah offline,positif,positif
capek banget buset sekolahkuliah offline ketemu terbit benam matahari,negatif,negatif
