tweet_bersih,label_sentimen,label prediksi
iya do offline og esuk ramai ndalan do ngeterke anak e sekolah,0,netral
wooowwww syukur ubah amin moga tidur jam belas pas sekolah offline tidur jam belas melulu syukur jam bangun,-1,negatif
seru ku baca tunggu sekolah offline pinjam pus,1,positif
rumah anggap buruk mental biasa buru buru kekantorkepabriksekolah lambat budaya rumah maklum fisik offline uang tambah uang tambah,0,netral
good wkwk offline sekolah gampang ngelakuinnya,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anak ajar tatap muka ptm sekolah tenang puan pm,1,positif
foodizz hasil luncur sekolah bisnis kuliner sbk resmi menparekraf sandiaga uno kamu sobat sbk kuti daring offline sbk program kelas,0,netral
sekolah offline tugas banget tugas kelompok presentasi,-1,negatif
bahagia banget ketemu anak sekolah minggu tatap muka,1,positif
sekolahkuliahkerja offline tim sarap tunggu jam istirahat makan,0,netral
sahabat kreatif ptm iya cieee ngeumpi ajar suka sekolah offline daring,0,netral
degdegan bagi sekolah offline kelas semester uji semester usaha cipta kenangkenangan bareng teman takut uji sekolahujian masuk kampus kayak gila anak gede,-1,negatif
day sekolah offline tugas tumpuk iya,-1,negatif
ppl kemarin alhamdulillah bagi offline sekolah tengah juru pilih sekolah dipilihin kampus rumahsekolah menit berangkat jam set sekolah seru banget sayang warga sekolah nyaman,1,positif
ganbatte juang uji semester offline semester genap semangat daftar sekolah negeri fighting pat sekolah,0,netral
cegah sakit hepatitis akut ajar tatap muka siswa imbau bawa bekal sekolah siswa jajan sembarang tips masak bekal anak chef martin natadipraja,-1,negatif
wrwrwrwrw sekolah offline,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
eh lapor daring sekolah saya ada graduate pas lapor saya lapor offline,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anak ajar tatap muka ptm sekolah tenang puan layan indonesia,1,positif
macet sekolah kantor offline transportasi pada transport pribadi,-1,negatif
kangen deh piket kelas sapu lantai kotor kayak mulut saya sekolah iyapp corona dibolehin tatap muka saya masuk kelas ajar saya full bengkel saya kelas deh,1,positif
wkwk sekolah kali ah offline,1,positif
serius saya banget pas kelas daring tugass chat cowok suka tugas saya tugas chat seru banget saya kayak pas sekolah offline bicara sedih,-1,negatif
rek kerja sekolah kuliah offline please pakai masker jaga sehat hepatitis akut,-1,negatif
opini kesiap sekolah sambut ajar tatap muka tulis kelompok revi nurmilenia erlina dwi ambarwati nur azizah lanjut,0,netral
hai teman teman sekolah offline tugas banget tawar jasa joki tugas tawar pilih joki ringan tugas temanteman banget sila kunjung website,-1,negatif
senin ketua komisi pemelihan kabupaten brebes muamar riza pahlevi narasumber giat tatap muka sekolah pilih jurnalis warga kabupaten brebes ruang rapat kantor komisi pemelihan kabupaten brebes,1,positif
besok ku uji naik kelas tatap muka sekolah ulang ptm christyjkt,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
alam sekolah offline jaga bawa parasetamol minyak angin bantu turut kuliah offline,0,netral
kelas jaman sekolah offline,0,netral
mari ajar offline sekolah kelulus,1,positif
nder kasih daftar daring website offline sekolah pilih bawah kasih offline daftar buka jam jam offline luring,0,netral
sekolah offline aaaaaaaa mau daring,-1,negatif
iya sekolah offline,1,positif
tidur besok sekolah offline,1,negatif
sekolah offline minggu ketemu teman kock uji semester,0,netral
celah sekolah bawa fon je kena bully classmate barely a reason more like a wider medium and exposure to bully behavior celaka offline bully,-1,negatif
ri kota kabupaten jawa sumatra sekolah tatap muka,1,positif
sekolah offline pas saya lulus,-1,negatif
terap kurikulum merdeka sekolah dasar muhammadiyah ketel surakarta eksplorasi potensi unik individu siswa guru sesuai tuju capai,0,netral
ku semenjak sekolah offline kali nder,0,netral
sekolah daring kemarin saya fokus rl pas offline nolep,-1,negatif
puan syukur indonesia pasuk fase endemi covid kondisi anak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
foto ambil sekolah offline sep,0,netral
aktif ekskul nyaman banget ekskulnya fasilitas lengkap banget greenhouse pus nyaman istirahat pus pulang sekolah ramerame bareng teman teman asikk offline,1,positif
apartemen langsung macet sekolah islam plus tk ajar tatap muka,-1,negatif
jujur saya batuk tenggorok gatal hari tolong daring duluugue rasa sekolah offlinegue kangen seragam gueegue kangen interaksi crush papa saya duit beli butuh back to schoolmasa ambil gara gara gjdi back to school,1,positif
gantung sekolah sekolah tengah juru masuk tes psikotes corona offline,0,netral
question saya tawur i my mom habis pulang sekolah main nongkrong pulang sekolah langsung les found out bimbel offline saya doang kelas,-1,negatif
sekolah tatap muka singkat libur covid lulus,0,netral
lapo pas bagi sekolah tatap muka ngerasakne kuliah offline ku turun ra koyok mbiyen maleh introvert e,-1,negatif
mingdep sekolah offline belah kanan priv accnya isha cerita,0,netral
maaf kinda post saldo uji sekolah offline tahun erti,-1,negatif
on the way muslimah bawel tertawa al azhar mesjid samping sekolah jaman trust issues urus kaji offline kali osd mampir sapa anak jaxel sok muslimah bawelthis acronyme for women who braveawesomewiseelegant and kalau profil suara,-1,negatif
tementemenku kerja sekolah kuliah offline please banget pakai masker jaga sehat hindar hepatitis akut,-1,negatif
amin terima kasih gelisah pas pat offline ulang sekolah,-1,negatif
christyjkt bangun pagi sekolah offline wkwk,0,positif
semenjak sekolah offline aktif jarang main,-1,negatif
bioskop ppkm level jabodetabek bandung semarang solo jogjakarta surabaya malang bal sekolah tatap muka cafe restoran pusat bugar mal bioskop songsong jakarta fair,1,positif
tambah asyik klise kesal kamu giat sekitar nderr offline sekolah kokk komunitas semangaattt,0,netral
sekolah offline capai double,-1,negatif
sekolah offline adik,0,positif
sekolah gabungg offline onlinee,0,netral
iya sekolah ngonser offline,1,netral
bad dayyyyy kacamata ku patah besok sekolah offline,-1,negatif
puan syukur indonesia pasuk fase endemi covid kondisi anak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
jujur saya stres uji offline sekolah dosmaish asa ngang ngeng ngong doang batiba uji ottoke anjing saya semangat letoy,-1,negatif
christyjkt siang christy semangat christy sekolah offline christy hwaiting lupa makan siang gbu,1,positif
hueheueheueh study accord kerja sekolah tidur tonton yt tidur cerita ajar besok ulang offline,-1,negatif
blub blub blub blub blub blub blub blub blub pagi sekolah offline lupa sarap semangat,1,positif
saya berani media sosial doang pas sekolah offline lihat saya langsung lari,1,positif
wkwk iri banget sekolah wisuda offline sekolah saya hdbhshwb menang,1,positif
sekolah sampun dimilai offline wonten sepalih tiyang sepuh asli tiyang jawi saget krama saget ngajari putranipun wusananipun kang putra pikantuk nilai awon menawi sampun mekaten gurun ingkang dipunsalahaken video punika menawi dados semangat sinau boso jawi,1,positif
donggg sekolah classmeeting offline,0,netral
institusi didik abdi hilang sirna bangsa jajah sekolah tatap muka daring pancasila mana hati sang didik makan gaji gedhe doang jokowi,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anak ajar tatap muka ptm sekolah tenang puan pm,1,positif
christyjkt pas shonichi sekolah offline,0,netral
pas dibolehin sekolah offline pertama gim canggung,0,netral
christyjkt pagiii semangat sekolah offline kity,1,positif
but sometimes im glad that i got new friends this kayak teman pas sekolah offline kayak saya interaksi tahun gadapet teman,1,positif
sekolah offline,1,positif
offline,-1,positif
teman kabar sekolah uji pas offline h uji tanggap,0,netral
berangkat sekolah offline itungannya tahun sisa rumah,0,netral
abg saya kuliah offline jemput saya sekolah bimble malas gerak,-1,negatif
gara sekolah offline jarang banget buka twit,-1,negatif
semenjak adek saya sekolah offline alhamdulillah jastip jajan kantin saya kantin pas kelas habis uji semester saya banget,1,positif
ampun bebas buka masker tempat sepi sekolah offline eh,-1,positif
sekolah offline informasi diumumin daring,0,netral
offline minco sibuk ajar uji sekolah cocobit stok rumah pokok lewat semangat ajar pokok,1,positif
jujur pas sekolah daring ambisius sekolah offline materi masuk,0,netral
unty jaman sekolah offline pas guru nerangin ajar melek tidur,0,netral
hrt halo moots im sok maaf for being unactive lately hilang suasana hati buka twitter sekolah offline full saya cepat capek pat starting next week and i have to prepare the exams as well sok im pergi to take a rest,-1,negatif
banget kenang sekolah offline pakai series j jujur sedih sayang but perlu jamin tingkat speknya moga lirik admin,0,netral
mjb kak sekolah tuju daftar offline kak,0,netral
sekolah offline daring susah buka stan twit kangen hufr gebrak kak ichannya,-1,negatif
sepatu sekolah offline,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
sekolah offline jam badan saya remuk,-1,negatif
weh sekolah offline libur kerja rumah hari,0,negatif
sekolah offline enak,1,positif
pandang sekolah kat asia barcode tiap kelas mesti pc holder pasar i jenguk tt students letak code holder harap jual bebanyak kat offline store,0,netral
christyjkt sekolah offline semangat adik kity,1,positif
konspirasi weh habis covid terbit cacar monyet gejala huhu sekolah offline weh capek ngang ngmong rumah ett waspada gengs colong,-1,negatif
iya offline iya foto sekolah pakai green screen jadwal gbsa ngmpul banget,0,netral
konfirmasi hepatitis akut misterius anakanak iring laku ajar tatap muka sekolah orang tua waspada,-1,negatif
sekolah tengah negeri full tatap muka jam masuk jam pulang sekolah pe er,1,positif
alarm jaman sekolah offline,0,netral
januari sekolah kemarin sekolah offline masuk sekolah ketemu ayah telfonan hitung obrol aowkakwkwkwk,-1,negatif
tai gengmo ngepull albumm kebetulann beli wkwk balii jakarta susah ih sebentar sekolah offline kayak,-1,negatif
tugas madam bakar disinfeksi sekolah distrik putuo shanghai tiongkok timur jumat semprot disinfektan sekolah shanghai ajar tatap muka ptm,0,netral
tidur cepat niat wkwk besok sekolah offline,-1,negatif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
iya iri banget rasa sekolah full offline,1,positif
minggu sekolah offline minggu covid tau bablas lulus kangen sc yogyakarta,1,positif
gara gara sekolah offline saya makan,-1,negatif
sumpah jam ajar sekolah daring jam sekolah offline jam uji jam hari doang,0,netral
christyjkt pagi adik semangat sekolah offline,1,positif
for context schedule ku offline kelas sekolah weekday ekskul jam kerja tugas ajar les mandarin pekan kerja tugas ajar ulang rekat gereja parah weekday les kumon inggris libur isi les design,0,netral
makan siomay tim pakai campur kayak kubis kentang paria tim siomay giat kah habis giat langsung istirahat begadang besok sekolah offline lambat wkwk christyjkt,0,netral
sekolah offline zoom gmeet app guna wa,0,netral
daring sekolah offline deg deg melulu,-1,negatif
tani sekolah offline sekolah daring didampingin moga lancar,0,netral
ramai bocah sekolah dasar sekolah offline,1,positif
pas semester pas semester nge stuck ranking offline sekolah itu masuk full batas lulus wisuda umum kelulus,0,netral
besok sekolah offline daring,0,netral
by the way sekolah offline kah,0,netral
know sekolah tatap muka hitung tahun,0,netral
sekolah offline malas melulu sekolah daring ambisius,-1,negatif
wisuda offline lapang sekolah habis an teman saya ribut gedung syukur anjing,-1,negatif
christyjkt siang christy semangat sekolah offline giat,1,positif
kabar sekolah pat offline kasih informasi uji daring,0,netral
anak laki laki jelang sekolah offline banget upgradenya celoteh keeping eye contact bicara hari senang banget bongkar pasang puzzle gemas,1,positif
seko ajar pakai gawai kayak sekolah daring tuju ajar tatap muka murid temu langsung ajar sistem didik,-1,negatif
lupa sekolah offline,0,netral
sekolahkuliahkerja offline butuh banget flashdisk flashdisk sandisk gb harga ke kamu harga pasar ke buah sila dicheck out kakak sedia,0,netral
wkwk lucu dengar adik saya culture shock sekolah offline networking ceunah kunci kelas pusing kimia wkwk,-1,negatif
konspirasi weh habis covid terbit cacar monyet gejala huhu sekolah offline weh capek ngang ngong ngang ngong ett waspada gengs colong,-1,negatif
ajar uji offline sekolah djhsbssnbdbdb,-1,negatif
pas guru tatap tatap pasang muka ramah cerita habis sungjoon bicara pulang saya tunggu lapang sekolah,0,netral
christyjkt sekolah offline,0,positif
aduh kayak bunda bunda ekspatriat belanja bulan bekal anak anak masuk sekolah tatap muka,1,positif
christyjkt wedeh semangat njel seru banget sekolah offline,1,positif
ri kota sekolah daring tatap muka,0,netral
anak sekolah tatap muka senang banget eitss tatap muka lupa patuh protokol sehat jamin anak makan gizi sekolah kamu,1,positif
sekolah offline makan saya kayak pas sekolah dasar pendek,-1,negatif
sg teman teman sekolah classmeet offline iri dengki gede banget,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
brokoli chickel teriyaki samboza sekolah offline rajin bekal,1,positif
sekolah offline nas,0,netral
positif thinking yedam sekolah musik offline,0,netral
konser pasar malam sekolah we tatap muka lihat bal ra galau sek cerak denggung bak orang,1,positif
christyjkt pagi adik mangatts sekolah offline,1,positif
aduh kadang kesal sekolah offline keren pas pagi doang pulang kucel,-1,negatif
main handphone hubung sekolah offline alas bocah cilik main handphone atur wkwk jadwal main handphone malam jadwal ajar selesai jam,1,positif
sekolah daring selesai offline daring,0,netral
offline sekolah tugas kelompok crush melulu eh pas teman tugas informasi cewek,1,netral
christyjkt semangat sekolah offline,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
sekolah graduation offline ngumumin h smansa doang,0,netral
sekolah offline,1,positif
kelas kayak orang ling lung sekolah offline rumah fokus ajar ganggu benar bingung banget hancur stres banget henti ajar sekolah uji cari cuan repeat lageee,1,positif
kusut sekolahkuliah offline,0,netral
kemarin aktif promosi zenru eh sekolah tatap muka,0,netral
sekolah offline semangat,1,positif
eh sekolah kayak sekolah ku negeri urus ppdb anak mpkosis tingkat daring offline,0,netral
sudahhh didik anak usia kb sekolah murid merdeka basis sekolah daring tahun juli pindah sekolah offline kelas tk a,0,netral
allah tolong saya sekolah offline saya mos saya offlineee,1,positif
malas banget pulang sekolah pramuka offline,-1,negatif
makan teman jual makan kering bumbu kayak makaroni pedas keripik balado popcorn sekolah offline insyaallah beli,1,positif
banyak sekolah offline kak,1,netral
iya sekolah offline,-1,positif
normal sekolah kuliah offline full wfo gakebayang semembludak jalan,-1,negatif
hai teman teman sekolah offline tugas banget tawar jasa joki tugas tawar pilih joki ringan tugas temanteman banget sila kunjung website,-1,negatif
cung pat offline sekolah,0,netral
sekolah uji kakak mahasiswa kerja offline budak korporat,-1,negatif
observasi sekolah offline,-1,negatif
pagi kak christyjkt semangat semangat sekolah offline,1,positif
kerja sekolah kuliah offline please pakai masker jaga sehat hepatitis akut,-1,negatif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
senang banget sekolah ku tatap muka rasa duduk meja orang,1,positif
wkwk bisaaku pas kelas kemarin ribet banget sidang wisuda garing banget daring ih sakit hati sekolah tatap muka wisuda kelas daring,0,netral
selamat malam mohon perhati sekolah tabur bogor full time tatap muka metode ajar jarak jauh mana anak anak jenuh metode ajar jarak jauh samping sekolah ajar full time seko,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli tani,1,positif
pegang handphone pulang sekolah urus makan siang anak prepare kumon handphone pakai zoom beres anak offline kumon sibuk antar jemput,-1,negatif
outfit of the day ransel jalan sekolah kuliah kerja affordable offline,0,netral
daftar ulang offline kak sekolah tuju,0,netral
please rencana sekolah padat banget kangen suasana full offline,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
gara teman sakit berngkat pas masuk sekolah offline,-1,negatif
saya pacar uwunya era offline nder jarang post media sosial real hadap orang kantin koridor teman guru sekolah saksi bisu pacar saya,1,negatif
christyjkt semangat adik sekolah offline,1,positif
sekolah offline maksud,-1,negatif
good luck dekel sekolah full daring pat offline saya nilai fisika saya,-1,negatif
dear guru saya pandemi sekolah offline kelas pas masuk kelas susun ulang hidup saya beranta banyak rumah puter ulang otak saya lambat pas kelulus susahin kasihan anak angkat saya anjing,-1,negatif
daftar ppdb jawa timur daring kak tinggal tunggu daftar daftar offline daftar ulang sekolah tuju,0,netral
jujur expect rank sekolah semester aihhh takut banget pat offline make handphone suka leggy labkom masuk angin,-1,negatif
saya mpls offline please lulus saya sekolah tenang,1,positif
pat sekolah saya offline saya banyakkkk banget interaksi mantan crush wowowow keren ayesha,1,positif
bagus siap sekolah tatap muka salah asumsi,1,positif
ppkm level jabodetabek terap ajar tatap muka sekolah,1,positif
antar riski sekolah offline kemarin menang kelas anak beliau nilai kosong semester beliau orang sakit kdd beisi handphone,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
sekolah offline saya hari makan kali,1,negatif
kampussekolah full offline kampus semester offline huffttt kerjaa,-1,negatif
malam saya janji teman sekolah ambil ijazah saya izin dosen teman saya telpon maaf cha dosen saya masuk offline,0,netral
gantung topik jadi referensi hapus ilmu tahu alam ilmu tahu sosial spill utbk wisuda sistem zonasi uji sekolah cbt offline,0,netral
gila cuek banget bolos sekolah pulang pas kuliah offline semangat bolos pas onlineoffline malas banget masuk takut c,-1,negatif
ucap pakai sticky notes banget kopit tertawa zoom nyanyinyanyi sekolah kasih kue tatap muka batas sedikitannn sepi saya habis celaka bicara wkwk,0,netral
senang deh lihat orang pakai seragam sekolah kuliah offline,1,positif
iya gara gara sekolah offline,1,negatif
baca cari paudtk anak ragu tatap muka full tk coba lihat sekolah murid merdeka deh ambil reguler x minggu daring ambil kelas khusus literasi numerasi kelas luring hubung kota foundernya cikal,1,netral
turut sekolah offline banyak sekolah pulang jam sore itu ekskul maghrib pulang pensiun,0,netral
rasa banget minus sekolahkuliah daring maaf kerja orang lupa batas jam offline malam istirahat sungkan ganggu daring anggap rumah stand by handphone kadang,1,positif
sekolah les normal tatap muka,1,positif
kayak faktor saya sekolah offline malesss banget buka twit,-1,negatif
minggu main main rumah teman keluar juga sekolah offline minggu ke ke,1,positif
terima banget pas saya lulus giat offline sekolah anjing hsusheishsje,-1,negatif
i want to dye my hair to full blonde sok bad sekolah offline,-1,negatif
sksks gara wfo offline sekolah kuliah kangen banget vibes sbt ramai but oke life goes on sibuk,0,netral
pantau laksana ajar tatap muka ptm perintah pusat bersamasama perintah daerah sekolah jaga serta didik sebar sakit puan maharani,-1,negatif
konspirasi weh habis covid terbit cacar monyet gejala huhu sekolah offline weh capek ngang ngong ngang ngong ett waspada gengs colong,-1,negatif
jam nguantuk pol tidur dibangkukasur langsung fakotr masuk sekolah offline pat kali,-1,negatif
allah pas harap covid hilang hilang sekolah offline semenjak ayu lupa teman sekolah ketemu banding cemburu,0,netral
o tertawa sekolah saya offline uji daring,0,netral
akhrinya adik sekolah tatap muka sekolah daring,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
tolong atulah anak rasa sekolah offline lepas masker gemeeeesssss,1,positif
oh iya jumat iyaiya sekolah offline wfo,1,netral
sibuk sekolah offline tugas banget,-1,negatif
deh lucu post benerbener lulus smantass kangen sekolah offline,1,negatif
kasitau kondisi offline sesuain compensation sekolah swasta internasional umrkonon digit,0,netral
akuisisi primagama sekrg anak sekolah offline bimbel ramai ajar langsung tatap muka ajar daring siswa sdsma kurang pilih ajar luring,1,positif
maaf wedeh sekolah offline yeayyy wkwk suka makan pedees yagesyaaa christyjkt,0,netral
id huhu sayang ku sekolah offline,1,netral
ppdb sekolah tengah juru slb jabartahun gelar daring orang tua serta didik daftar offline,0,netral
saya rasa pas sekolah offline jam kosong jam ajar manfaat guru ganti masuk sebentar pas negeri jam kosong jam istirahat pulang,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan pm,1,positif
sekolah saya wisuda offline alias flop banget,-1,negatif
kumpul keluarga pas raya arisan makan jajan piknik sekolah offline ketemu temennnnn dream allo bank dream coba kerennnnnn suka,1,positif
hai teman teman sekolah offline tugas banget tawar jasa joki tugas tawar pilih joki ringan tugas temanteman banget sila kunjung website,-1,negatif
kasih sekolah offline malas banget bebas masuk eh pas offline seru ketemu r,1,positif
nder libur sekolah offline,1,positif
cari kantin bukaa soalnyaa pas offline jarang jajan kantin sekolah mahasiswa cari jajan informasi kantin bukaa sekolah daerah jakarta utara maakasih guysss,1,positif
bayang pas sekolah offline bawa bekal,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
kamu masuk santai ajasih by the way daring offline butuh adaptasi iya saran akumah berekspektasi sisa kamu amat sekolah gaul gitudeh ide aktif,1,positif
allah gede kamu nder pakai kacamata buram banget coba tegesin ayah buram kayak hambat ajar sekolah offline lihat papan tulis,0,netral
sekolah offline jarang on tt mingdep uji naik kelas,-1,negatif
bun gek tatap muka suka nek kelas sekolah full siapsiap mamak,1,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
butter pas pandemi sekolah darig kerja rumah streaming udsh offline streaming tunggu berea sekolahkerja,0,netral
bismillah gapyear sekolah laptop pengem banget ajar word excell ikut ekskuldi sekolah corona offline ajar excell word kelas daring mandiri,1,positif
berangkat sekolah wkwk kadang offline kadang daring capek banget by the way berangkat sekolah semangat streaming,1,positif
semenjak sekolah offline kayak jarang pakai,-1,negatif
turut jaman zaman daring sekolah tugas meet kayak sekolah ku hikd offline turut presentasi presentasi kelompok butuh laptop etik etik pakai handphone,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
woahhhh sekolah offline kah waaaaaah mangattt ness,1,positif
salah adaptasi pandemi tatap muka penuh sekolah anak jadwal kerja,-1,negatif
